name,address,latitude,longitude,geometry,index_right,district,state,poi_types
ZUS Coffee – Temu Business Centre City Of Elmina,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor",3.186148,101.5190497,,36,PETALING,SELANGOR,[]
"ZUS Coffee – Straits City, Penang","GF-3C, Ground Floor, 4823-4824, 2F, Jalan Pantai, Taman Selat, 12000 Butterworth, Pulau Pinang",5.395911,100.3658764,,51,SEBERANG PERAI UTARA,PULAU PINANG,"['transit_station', 'university', 'gas_station', 'shopping_mall']"
ZUS Coffee – Spectrum Shopping Mall,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor",3.1404322,101.7690244,,34,ULU LANGAT,SELANGOR,"['transit_station', 'university']"
ZUS Coffee – Paradigm Mall Johor Bahru,"Lot 4FK-35, Paradigm Mall, Jalan Skudai Lbh, 81200 Skudai, Johor",1.5156318,103.6857437,,61,JOHOR BAHRU,JOHOR,"['transit_station', 'university', 'gas_station', 'shopping_mall']"
ZUS Coffee – Klippa Shopping Centre,"8, LG.07, Lower Ground Floor IKEA Batu Kawan Link Building, 752, Persiaran Cassia Selatan, 8, Lebuhraya Bandar Cassia, 14110 Simpang Ampat, Pulau Pinang",5.2338165,100.4404007,,14,SEBERANG PERAI SELATAN,PULAU PINANG,"['university', 'shopping_mall']"
ZUS Coffee – Karamunsing Shopping Complex,"Lot 1.93.95, Karamunsing Shopping Complex, Lot-LG91B, Lower Ground Floor, 88000 Kota Kinabalu, Sabah",5.9708249,116.0751345,,103,WEST COAST SOUTH,SABAH,"['transit_station', 'gas_station', 'shopping_mall']"
ZUS Coffee – Bandar Menjalara,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1950509,101.6298663,,52,KUALA LUMPUR,WP KUALA LUMPUR,"['transit_station', 'gas_station', 'shopping_mall']"
"ZUS Coffee – Jabatan Peguam Negara,  Putrajaya","Bangunan Jabatan Peguam Negara AGC Persint 4, Lot 1, Level 1, Putrajaya 62100 Malaysia",2.905659,101.6816013,,53,PUTRAJAYA,WP PUTRAJAYA,['transit_station']
"ZUS Coffee – Lembah Sireh, Kota Bharu","PT384 (GF), Lembah Sireh, 15050 Kota Bharu, Kelantan.",6.1150863,102.2310784,,45,KOTA BHARU,KELANTAN,"['transit_station', 'university', 'shopping_mall']"
"ZUS Coffee – LSH33, Sentul","G-11, Ground Floor, Laman Seri Harmoni (LSH33), No. 3, Jalan Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.2088049,101.692099,,52,KUALA LUMPUR,WP KUALA LUMPUR,"['transit_station', 'gas_station', 'shopping_mall']"
